,sample,timeSinceboot,ADC0,ADC1,ADC2
128,17.0,166785113.0,1.479199,0.680786,0.66145
129,16.0,166790131.0,1.511426,0.696094,0.674341
130,16.0,166795149.0,1.528345,0.688037,0.665479
131,15.0,166800167.0,1.498535,0.673535,0.650977
132,14.0,166805185.0,1.493701,0.693677,0.671924
133,13.0,166810203.0,1.523511,0.692871,0.669507
134,12.0,166815221.0,1.523511,0.671924,0.64856
135,10.0,166825258.0,1.51062,0.693677,0.671924
136,9.0,166830277.0,1.538013,0.677563,0.654199
137,8.0,166835295.0,1.477588,0.682397,0.66145
138,7.0,166840313.0,1.512231,0.694482,0.672729
139,6.0,166845331.0,1.532373,0.686426,0.662256
140,5.0,166850349.0,1.501758,0.673535,0.651782
141,4.0,166855367.0,1.49209,0.694482,0.673535
142,3.0,166860385.0,1.519482,0.692065,0.670312
143,1.0,166870421.0,1.480005,0.690454,0.668701
144,0.0,166875463.0,1.517065,0.69126,0.670312
145,18.0,166880504.0,1.533984,0.672729,0.64856
146,17.0,166885525.0,1.474365,0.681592,0.660645
147,16.0,166890543.0,1.505786,0.693677,0.670312
148,15.0,166895561.0,1.521899,0.681592,0.658228
149,11.0,166920651.0,1.487256,0.688037,0.668701
150,10.0,166925675.0,1.503369,0.688037,0.670312
151,9.0,166930697.0,1.537207,0.669507,0.649365
152,8.0,166935715.0,1.487256,0.680786,0.662256
153,6.0,166945751.0,1.538818,0.679175,0.660645
154,4.0,166955787.0,1.50498,0.69126,0.673535
155,3.0,166960805.0,1.527539,0.686426,0.668701
156,2.0,166965823.0,1.509009,0.666284,0.64856
157,1.0,166970841.0,1.488867,0.687231,0.671118
158,18.0,166980915.0,1.530762,0.667895,0.650171
159,17.0,166985938.0,1.476782,0.681592,0.665479
160,16.0,166990956.0,1.509814,0.69126,0.673535
161,15.0,166995974.0,1.541235,0.679175,0.659839
162,14.0,167000992.0,1.487256,0.673535,0.655811
163,13.0,167006010.0,1.498535,0.692065,0.673535
164,13.0,167011028.0,1.528345,0.687231,0.667895
165,11.0,167021064.0,1.49209,0.688037,0.670312
166,10.0,167026083.0,1.519482,0.690454,0.669507
167,9.0,167031101.0,1.525928,0.668701,0.64856
168,7.0,167041137.0,1.51626,0.690454,0.672729
169,6.0,167046155.0,1.538818,0.675146,0.655811
170,5.0,167051173.0,1.480811,0.671924,0.654199
171,4.0,167056191.0,1.506592,0.69126,0.671118
172,3.0,167061209.0,1.523511,0.68562,0.664673
173,2.0,167066227.0,1.504175,0.666284,0.646143
174,1.0,167071245.0,1.490479,0.688037,0.667895
175,0.0,167076283.0,1.535596,0.694482,0.673535
176,18.0,167081317.0,1.52915,0.666284,0.643726
177,17.0,167086338.0,1.471948,0.683203,0.662256
178,16.0,167091357.0,1.51626,0.692065,0.668701
179,15.0,167096376.0,1.54043,0.675146,0.651782
180,14.0,167101394.0,1.480005,0.674341,0.653394
181,13.0,167106412.0,1.506592,0.692065,0.670312
182,12.0,167111430.0,1.522705,0.684814,0.662256
183,11.0,167116448.0,1.50498,0.667895,0.646143
184,11.0,167121466.0,1.503369,0.69126,0.668701
185,10.0,167126486.0,1.518677,0.69126,0.667895
186,9.0,167131506.0,1.521899,0.669507,0.646143
187,8.0,167136524.0,1.476782,0.686426,0.66709
188,7.0,167141542.0,1.523511,0.694482,0.671924
189,5.0,167151578.0,1.477588,0.679175,0.657422
190,4.0,167156596.0,1.506592,0.695288,0.672729
191,3.0,167161614.0,1.525122,0.688037,0.665479
192,2.0,167166632.0,1.496924,0.670312,0.64856
193,1.0,167171650.0,1.492895,0.692871,0.669507
194,0.0,167176685.0,1.522705,0.69126,0.667895
